ISBN10,Author,reviews_count,seller_name,Title,categories
63046105,Omid ScobieCarolyn Durand,12951,TrustedMarketing,Finding Freedom: Harry and Meghan and the Making of a Modern Royal Family,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
63046113,Omid ScobieCarolyn Durand,12951,Amazon,Finding Freedom: Harry and Meghan,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
62678426,A. J Finn,33470,Amazon,The Woman in the Window: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
6112495,E. B WhiteGarth Williams,17487,ZBK Books,Charlotte's Web,"[""Books"",""Children's Books"",""Animals""]"
140501738,Don Freeman,12752,FindAnyBook,Corduroy,"[""Books"",""Children's Books"",""Animals""]"
63063530,Sally Thorne,14801,Amazon,The Hating Game,"[""Books"",""Humor & Entertainment"",""Humor""]"
62696122,Aldous Huxley,18262,Amazon,Brave New World,"[""Books"",""Literature & Fiction"",""United States""]"
62697250,Neil GaimanTerry Pratchett,14729,AJ's Pop-up Shop,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
63078902,Julia Quinn,32433,gatecitybooks,Bridgerton [TV Tie-in] (Bridgertons Book 1),"[""Books"",""Literature & Fiction"",""Women's Fiction""]"
62238868,Chris KyleScott McEwenJim DeFelice,18487,Vivé Liber Books LLC,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,"[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
63111306,Liv Constantine,12379,Bear Books Outlet,The Last Mrs. Parrish: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
006313862X,Julia Quinn,24901,Valleys Books & More,"The Viscount Who Loved Me: Bridgerton (Bridgertons, 2)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
63138646,Julia Quinn,17372,Amazon,"Offer from a Gentleman, An: Bridgerton (Bridgertons, 3)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
63141248,Julia Quinn,21038,Seattlegoodwill,"Romancing Mister Bridgerton: Bridgerton (Bridgertons, 4)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
63141256,Julia Quinn,15975,Prime 1 Books,"To Sir Phillip, With Love: Bridgerton (Bridgertons, 5)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
63141280,Julia Quinn,14459,Missouri_Goodwill_Industries,"When He Was Wicked: Bridgerton (Bridgertons, 6)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
63141299,Julia Quinn,12470,Goodwill of North Georgia,"It's in His Kiss: Bridgerton (Bridgertons, 7)","[""Books"",""Literature & Fiction"",""Women's Fiction""]"
63141302,Julia Quinn,11480,Valleys Books & More,"On the Way to the Wedding: Bridgerton (Bridgertons, 8)","[""Books"",""Romance"",""Historical""]"
63142783,Charlie Mackesy,87406,desert18,"The Boy, the Mole, the Fox and the Horse Deluxe (Yellow) Edition","[""Books"",""Comics & Graphic Novels"",""Graphic Novels""]"
